"id","firstname","lastname","nik","email","born","date_of_birth","address","city","phone","job","color","created_at","updated_at"
1,Okta,Zulaika,"3310911504114320",ira.usada@yahoo.co.id,Prabumulih,2022-04-17,"Psr. Rajiman No. 389, Palangka Raya 26284, Lampung",Pagar Alam,"020 5419 5209",Psikiater / Psikolog,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
2,Luwes,Rahimah,"1222934302021318",maryanto28@yahoo.com,Semarang,1996-12-31,"Psr. Ketandan No. 235, Pasuruan 28290, Jambi",Probolinggo,"0426 4856 0834",Pedagang,zaitun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
3,Estiono,Siregar,"5310195702992723",hardiansyah.cecep@yahoo.com,Tidore Kepulauan,2014-05-23,"Dk. Adisumarmo No. 935, Ambon 48812, Sulut",Tanjung Pinang,"0849 2338 347",Pendeta,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
4,Upik,Fujiati,"3313772910088514",sihotang.agnes@gmail.com,Bima,2016-12-24,"Ds. Bah Jaya No. 432, Bitung 48211, Gorontalo",Pematangsiantar,(+62) 418 7866 690,Buruh Tani / Perkebunan,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
5,Jagapati,Padmasari,"6212951507082042",firmansyah.limar@yahoo.com,Blitar,1991-10-26,"Jr. Bahagia No. 553, Sukabumi 67470, Malut",Bontang,(+62) 644 7531 865,Buruh Nelayan / Perikanan,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
6,Cinthia,Puspita,"1312452912224287",dnuraini@gmail.co.id,Padangsidempuan,1973-01-14,"Ds. Barasak No. 649, Madiun 31858, Kalbar",Bontang,(+62) 575 3843 628,Presiden,emas,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
7,Betania,Gunarto,"7373626009173847",epurnawati@gmail.com,Administrasi Jakarta Selatan,2016-06-14,"Dk. Ekonomi No. 687, Bengkulu 68059, Kalteng",Kotamobagu,"025 0556 279",Tukang Batu,merah jambu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
8,Wani,Setiawan,"5106386401036849",yosef27@gmail.co.id,Administrasi Jakarta Utara,2003-05-11,"Jr. Bazuka Raya No. 93, Tangerang Selatan 12969, Sumut",Pekalongan,"0240 1252 8319",Promotor Acara,perak,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
9,Ozy,Zulaika,"3316605006231281",yuliarti.tiara@yahoo.com,Lubuklinggau,1976-03-27,"Gg. Bhayangkara No. 678, Tegal 83023, Sumut",Lhokseumawe,"027 6690 4034",Pilot,perak,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
10,Cemani,Hardiansyah,"1206514701218844",zulfa.zulaika@gmail.co.id,Palangka Raya,2002-02-22,"Jln. Halim No. 203, Balikpapan 26533, Gorontalo",Tangerang,(+62) 831 2514 1269,Juru Masak,magenta,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
11,Safina,Pertiwi,"5320205906110642",hasta.sihombing@yahoo.com,Administrasi Jakarta Utara,1977-09-02,"Kpg. Ketandan No. 665, Sorong 63058, Jambi",Padangsidempuan,"0929 9927 650",Mengurus Rumah Tangga,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
12,Mariadi,Gunarto,"1871616404133963",capa89@gmail.com,Sukabumi,1985-05-20,"Psr. Umalas No. 441, Sukabumi 98822, Sulsel",Sorong,(+62) 859 536 917,Sopir,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
13,Cornelia,Astuti,"7403642203141786",sadina.melani@yahoo.co.id,Bekasi,2022-09-08,"Dk. Abang No. 27, Dumai 44655, DIY",Cirebon,(+62) 868 5827 868,Penata Rias,magenta,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
14,Liman,Hidayat,"1310432601120680",ulva88@gmail.co.id,Gorontalo,2017-04-19,"Psr. M.T. Haryono No. 793, Tangerang 66826, Malut",Jambi,"0800 995 893",Pembantu Rumah Tangga,hitam,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
15,Endah,Yuliarti,"7471606210989748",kayla.susanti@yahoo.com,Probolinggo,1996-01-04,"Gg. Villa No. 464, Padang 80749, Riau",Ternate,"0589 1392 732",Penata Busana,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
16,Chandra,Wastuti,"1213360410988133",gasti.sitorus@gmail.co.id,Batu,1996-03-10,"Dk. Salam No. 36, Sorong 60879, Aceh",Sibolga,"0475 1857 9708",Penyiar Radio,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
17,Melinda,Maulana,"3271572103018780",zizi09@yahoo.com,Bogor,1995-05-07,"Ds. Hayam Wuruk No. 947, Bitung 51382, Banten",Manado,"0536 5306 649",Buruh Nelayan / Perikanan,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
18,Winda,Sinaga,"8109172807221910",hasanah.paulin@yahoo.co.id,Langsa,1975-03-24,"Jr. Moch. Toha No. 131, Administrasi Jakarta Pusat 48097, Babel",Surabaya,(+62) 898 492 967,Kepala Desa,teal,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
19,Cahyo,Prasasta,"1214385311997244",ophelia.napitupulu@yahoo.com,Parepare,1991-09-26,"Psr. Dago No. 279, Jambi 15585, Bali",Samarinda,"0329 8603 011",Seniman,hitam,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
20,Laksana,Puspasari,"1806432510967440",bfirgantoro@gmail.com,Pagar Alam,1990-08-01,"Jr. Dipenogoro No. 55, Banjarmasin 83475, Papua",Tangerang,(+62) 249 1007 8824,Satpam,merah marun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
21,Kurnia,Mangunsong,"6106572609060323",umi.kusumo@gmail.co.id,Lubuklinggau,2020-04-10,"Psr. Babah No. 69, Palu 99445, Babel",Langsa,"0723 8198 107",Montir,emas,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
22,Pia,Hartati,"9108862612962983",hamzah.hidayat@gmail.com,Bontang,2018-11-19,"Gg. Achmad No. 720, Bengkulu 96743, Kepri",Tasikmalaya,"0478 8347 472",Penyiar Radio,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
23,Nrima,Fujiati,"9106434911017604",cinta.sinaga@yahoo.co.id,Surakarta,1972-07-16,"Ds. Bak Mandi No. 779, Bontang 42932, Jatim",Lubuklinggau,(+62) 854 317 620,Karyawan BUMN,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
24,Aditya,Rahmawati,"9123195805164665",dian97@gmail.co.id,Subulussalam,2022-01-18,"Psr. Tubagus Ismail No. 432, Solok 49740, Banten",Solok,(+62) 686 6436 4127,Tukang Cukur,cokelat,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
25,Wani,Ramadan,"1308096002195742",hutagalung.opan@gmail.co.id,Cilegon,1996-11-20,"Jln. Antapani Lama No. 631, Cirebon 87751, Kaltim",Palembang,(+62) 542 5171 988,Mekanik,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
26,Gatra,Najmudin,"1114496110046869",empluk.samosir@yahoo.com,Madiun,2003-06-11,"Dk. Camar No. 234, Solok 87878, NTB",Tasikmalaya,"0874 9197 590",Tukang Gigi,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
27,Irfan,Mansur,"9101151410237503",zpadmasari@gmail.com,Parepare,2015-12-26,"Psr. Sadang Serang No. 417, Binjai 93594, Sulut",Malang,"0660 9003 902",Akuntan,hitam,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
28,Ophelia,Saptono,"8101084301020835",mardhiyah.kawaya@yahoo.co.id,Tanjungbalai,2010-11-28,"Ds. Abdul Rahmat No. 254, Solok 20526, Kaltara",Semarang,"0678 5503 116",Tukang Gigi,merah marun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
29,Yusuf,Firgantoro,"7312754604181781",saputra.jaswadi@yahoo.com,Prabumulih,1991-03-15,"Kpg. Sukajadi No. 447, Padangsidempuan 75374, Banten",Sabang,"0992 2120 655",Kondektur,merah,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
30,Prasetya,Ramadan,"7505942304108354",oman.hutagalung@yahoo.com,Depok,1982-05-27,"Jln. Babadak No. 547, Malang 70238, Bali",Prabumulih,(+62) 23 1073 083,Peternak,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
31,Luthfi,Firgantoro,"1202152903990942",tira.mulyani@yahoo.com,Bukittinggi,1991-06-22,"Ds. Suharso No. 784, Gunungsitoli 52478, Kepri",Pangkal Pinang,(+62) 323 5513 763,Perdagangan,teal,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
32,Ida,Najmudin,"1301376705134654",nzulaika@gmail.com,Palembang,1972-04-28,"Ds. Sukajadi No. 702, Tasikmalaya 65027, Riau",Tegal,(+62) 877 796 790,Penerjemah,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
33,Jamalia,Pratiwi,"6211512511949169",vmansur@yahoo.co.id,Tanjung Pinang,2009-07-17,"Kpg. Barat No. 151, Tasikmalaya 74334, Lampung",Batu,(+62) 351 3377 042,Ustaz / Mubaligh,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
34,Pardi,Lailasari,"1108615404989769",najmudin.arta@yahoo.com,Banjarbaru,2018-12-09,"Ki. Ters. Pasir Koja No. 181, Medan 50984, Kalsel",Solok,"0494 6021 785",Apoteker,merah,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
35,Zulfa,Farida,"6212391307068463",azalea.rajata@yahoo.co.id,Singkawang,2016-03-31,"Kpg. Bayan No. 79, Jambi 34287, Malut",Yogyakarta,"0416 7700 5291",Wiraswasta,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
36,Raihan,Mangunsong,"9113295106169253",ehidayanto@gmail.com,Balikpapan,1977-03-21,"Psr. Abdul Rahmat No. 701, Sukabumi 92023, Sumut",Gorontalo,"0604 2494 9360",Kepala Desa,zaitun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
37,Halima,Salahudin,"5205104503942600",knurdiyanti@yahoo.com,Cirebon,2007-07-13,"Ki. Sampangan No. 429, Bekasi 46268, Jateng",Samarinda,(+62) 726 3743 3108,Satpam,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
38,Titin,Halimah,"2171256401049774",oskar.haryanto@yahoo.co.id,Ambon,2010-10-30,"Ki. Baung No. 714, Bontang 60383, Sumsel",Dumai,(+62) 660 3908 327,Pelaut,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
39,Puti,Mangunsong,"6213276312208268",yessi61@yahoo.co.id,Probolinggo,2019-04-13,"Psr. Moch. Yamin No. 266, Bogor 17421, Maluku",Balikpapan,(+62) 923 0120 2396,Tabib,hitam,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
40,Gawati,Pratama,"3505861308233104",bmulyani@yahoo.com,Blitar,1975-08-19,"Jr. Baranang Siang Indah No. 443, Sibolga 54978, Aceh",Kediri,(+62) 963 3854 466,Apoteker,zaitun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
41,Simon,Nuraini,"7316097107961710",ewidiastuti@gmail.co.id,Subulussalam,1980-06-26,"Ki. Raden No. 591, Subulussalam 70641, Kaltara",Administrasi Jakarta Pusat,(+62) 914 5262 660,Pensiunan,merah jambu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
